id,creditPoint,lessonCode,lessonName
347,2.0,312.062.1,法国文学史一
348,3.0,ECON120001.05,政治经济学
349,2.0,MED130124.01,精神科实习
350,3.0,269.025.1.03,运营管理
351,2.0,ENGL110014.04,英语中级口语
352,2.0,212.039.1,法语写作I(上)
353,2.0,ECON130114.01,政府与非营利组织会计
354,2.0,347.017.1,企业诊断与分析
355,3.0,ECON130004.01,国际贸易
356,3.0,321.005.2,近代无线电实验(下)
357,2.0,CHEM130061.01,分子组装与分子器件
358,2.0,ECON130077.01,项目评估
359,3.0,101.001.1,马克思主义哲学原理
360,2.0,169.018.1,管理科学导论
361,2.0,317.074.1,全球事务与全球治理
362,1.0,PHIL130015.03,学年论文
363,2.0,CHEM120004.07,有机化学实验
364,4.0,INFO130002.02,工程数学
365,1.0,PEDU110088.19,篮球
366,2.0,FINE110029.02,爵士乐赏析
367,3.0,330.111.1.01,高分子材料结构与性能
368,4.5,357.015.1,卫生管理运筹学
369,3.0,325.030.1,计算机审计
370,2.0,188.010.1,世界文化要览
371,1.0,356.180.1,小儿外科学
372,2.0,MANA130276.01,内部控制理论与实践
373,2.0,419.006.1,普通物理实验A1
374,2.0,313.140.1,广告学概论
375,3.0,0913.1.1,生产运营系统分析与设计
376,2.0,329.171.1,工程中的力学方法
377,3.0,219.901.1,普通物理B
378,2.0,MED130144.05,基于疾病的多学科教学II
379,2.0,372.223.1,软件测试
380,2.0,MED130097.01,中西医结合基础概论
381,2.0,SOCI110002.01,社会调查研究方法
382,3.0,268.009.1,货币银行学
383,3.0,101.007.1.02,邓小平理论概论
384,2.0,124.020.1,LINUX操作系统
385,2.0,327.079.1,行政诉讼法
386,3.0,318.059.1,最优控制理论
387,2.0,PHPM130007,卫生事业管理学
388,2.0,JOUR130069.01,娱乐报道
389,1.0,PEDU110024.11,乒乓球(二)(女)
390,3.0,322.116.3.02,物理化学AⅢ
391,3.0,361.018.2.01,专业实践与生产实习(下)
392,2.0,FINE110001.04,影视剧艺术
393,3.0,218.011.1,数学模型
394,3.0,MATH130026.01,生物数学
395,3.0,324.115.1,信息安全原理
396,1.5,NURS130012.01,护理教育学
397,2.0,ECON130086,国际投资
398,2.0,322.902.1,学期论文
399,3.0,LAWS130030,国际贸易法
400,2.0,600.008.1,形体健美操
401,3.0,ECON130137.02,公司金融学
402,2.0,PHAR130040,生物药剂学
403,2.0,334.021.1,社会学原著选读
404,2.0,222.004.1,分析化学实验A(上)
405,2.0,342.013.1,财务报表分析
406,1.0,PEDU110033.06,木兰拳
407,1.0,FINE110025,艺术训练（四）
408,2.0,129.020.1,CAD建筑工程制图
409,2.0,222.106.3.02,仪器分析和物理化学实验A下
410,2.0,347.016.1,组织行为学
411,2.0,103.032.1.01,影视与英美文化讨论
412,2.0,SOFT130029.01,人工智能
413,1.0,PEDU110088.05,篮球
414,2.0,314.075.1,南亚史
415,2.0,224.104.1,程序设计实习
416,3.0,MATE130012.01,电子材料实验
417,2.0,335.001.2,专业英语(博物馆)(下)
418,2.0,ENGL110044.07,大学英语II
419,2.0,JOUR130016.01,教学小实习
420,3.0,234.012.1,社会人类学
421,1.0,INFO110040.07,计算机绘图与多媒体
422,2.0,112.016.2,基础韩语(下)
423,2.0,330.156.1.01,高分子材料化学
424,2.0,PHYS130063.01,计算方法
425,4.0,311.090.1,中文系社会实践
426,3.0,0098.1.2,马克思主义哲学(下)
427,2.0,312.037.1,日本古典文学选读
428,2.0,122.006.1,生命中的化学元素
429,2.0,312.026.1,日本概况
430,4.0,MUSE130009.01,毕业论文
431,5.0,MATH120003.04,高等数学B（上）
